sample	sample_type
TCGA-06-0414	3
TCGA-06-0644	3
TCGA-06-0645	3
TCGA-06-0646	3
TCGA-06-0648	3
TCGA-06-0649	3
TCGA-06-0650	3
TCGA-06-0673	3
TCGA-06-0675	3
TCGA-06-0676	3
TCGA-06-0678	3
TCGA-06-0680	3
TCGA-06-0681	3
TCGA-06-0686	3
TCGA-06-0743	3
TCGA-06-0744	3
TCGA-06-0745	3
TCGA-06-0747	3
TCGA-06-0749	3
TCGA-06-0750	3
TCGA-06-0875	3
TCGA-06-0876	3
TCGA-06-0877	3
TCGA-06-0878	3
TCGA-06-0879	3
TCGA-06-0881	3
TCGA-06-0882	3
TCGA-06-0939	3
TCGA-06-1084	3
TCGA-06-1086	3
TCGA-06-1087	3
TCGA-06-1800	3
TCGA-06-1801	3
TCGA-06-1802	3
TCGA-06-1804	3
TCGA-06-1805	3
TCGA-06-1806	3
TCGA-06-2557	3
TCGA-06-2558	3
TCGA-06-2559	3
TCGA-06-2561	3
TCGA-06-2562	3
TCGA-06-2563	3
TCGA-06-2564	3
TCGA-06-2565	3
TCGA-06-2566	3
TCGA-06-2567	3
TCGA-06-2569	3
TCGA-06-2570	3
TCGA-06-5408	3
TCGA-06-5410	3
TCGA-06-5411	3
TCGA-06-5412	3
TCGA-06-5413	3
TCGA-06-5414	3
TCGA-06-5415	3
TCGA-06-5416	3
TCGA-06-5417	3
TCGA-06-5418	3
TCGA-06-5856	3
TCGA-06-5858	3
TCGA-06-5859	3
TCGA-06-6388	3
TCGA-06-6389	3
TCGA-06-6390	3
TCGA-06-6391	3
TCGA-06-6693	3
TCGA-06-6694	3
TCGA-06-6695	3
TCGA-06-6697	3
TCGA-06-6698	3
TCGA-06-6699	3
TCGA-06-6700	3
TCGA-06-6701	3
TCGA-08-0244	3
TCGA-08-0245	3
TCGA-08-0246	3
TCGA-08-0344	3
TCGA-08-0345	3
TCGA-08-0346	3
TCGA-08-0347	3
TCGA-08-0348	3
TCGA-08-0349	3
TCGA-08-0350	3
TCGA-08-0351	3
TCGA-08-0352	3
TCGA-08-0353	3
TCGA-08-0354	3
TCGA-08-0355	3
TCGA-08-0356	3
TCGA-08-0357	3
TCGA-08-0358	3
TCGA-08-0359	3
TCGA-08-0360	3
TCGA-08-0373	3
TCGA-08-0375	3
TCGA-08-0380	3
TCGA-08-0385	3
TCGA-08-0386	3
TCGA-08-0389	3
TCGA-08-0390	3
TCGA-08-0392	3
TCGA-08-0509	3
TCGA-08-0510	3
TCGA-08-0511	3
TCGA-08-0512	3
TCGA-08-0514	3
TCGA-08-0516	3
TCGA-08-0517	3
TCGA-08-0518	3
TCGA-08-0520	3
TCGA-08-0521	3
TCGA-08-0522	3
TCGA-08-0524	3
TCGA-08-0525	3
TCGA-08-0529	3
TCGA-08-0531	3
TCGA-08-0623	3
TCGA-08-0625	3
TCGA-08-0626	3
TCGA-08-0627	3
TCGA-09-0364	6
TCGA-09-0365	6
TCGA-09-0366	6
TCGA-09-0367	6
TCGA-09-0369	6
TCGA-09-1659	6
TCGA-09-1661	6
TCGA-09-1662	6
TCGA-09-1664	6
TCGA-09-1665	6
TCGA-09-1666	6
TCGA-09-1667	6
TCGA-09-1668	6
TCGA-09-1669	6
TCGA-09-1670	6
TCGA-09-1672	6
TCGA-09-1673	6
TCGA-09-1674	6
TCGA-09-1675	6
TCGA-09-2043	6
TCGA-09-2044	6
TCGA-09-2045	6
TCGA-09-2048	6
TCGA-09-2049	6
TCGA-09-2050	6
TCGA-09-2051	6
TCGA-09-2053	6
TCGA-09-2054	6
TCGA-09-2055	6
TCGA-09-2056	6
TCGA-10-0925	6
TCGA-10-0926	6
TCGA-10-0927	6
TCGA-10-0928	6
TCGA-10-0930	6
TCGA-10-0931	6
TCGA-10-0933	6
TCGA-10-0934	6
TCGA-10-0935	6
TCGA-10-0936	6
TCGA-10-0937	6
TCGA-10-0938	6
TCGA-12-0615	3
TCGA-12-0616	3
TCGA-12-0618	3
TCGA-12-0619	3
TCGA-12-0620	3
TCGA-12-0653	3
TCGA-12-0654	3
TCGA-12-0656	3
TCGA-12-0657	3
TCGA-12-0662	3
TCGA-12-0670	3
TCGA-12-0688	3
TCGA-12-0691	3
TCGA-12-0692	3
TCGA-12-0703	3
TCGA-12-0707	3
TCGA-12-0769	3
TCGA-12-0772	3
TCGA-12-0773	3
TCGA-12-0775	3
TCGA-12-0776	3
TCGA-12-0778	3
TCGA-12-0780	3
TCGA-12-0818	3
TCGA-12-0819	3
TCGA-12-0820	3
TCGA-12-0821	3
TCGA-12-0822	3
TCGA-12-0826	3
TCGA-12-0827	3
TCGA-12-0828	3
TCGA-12-0829	3
TCGA-12-1088	3
TCGA-12-1089	3
TCGA-12-1090	3
TCGA-12-1091	3
TCGA-12-1092	3
TCGA-12-1093	3
TCGA-12-1094	3
TCGA-12-1095	3
TCGA-12-1096	3
TCGA-12-1097	3
TCGA-12-1098	3
TCGA-12-1099	3
TCGA-12-1597	3
TCGA-12-1598	3
TCGA-12-1599	3
TCGA-12-1600	3
TCGA-12-1601	3
TCGA-12-1602	3
TCGA-12-3644	3
TCGA-12-3646	3
TCGA-12-3648	3
TCGA-12-3649	3
TCGA-12-3650	3
TCGA-12-3651	3
TCGA-12-3652	3
TCGA-12-3653	3
TCGA-12-5295	3
TCGA-12-5299	3
TCGA-12-5301	3
TCGA-13-0714	6
TCGA-13-0717	6
TCGA-13-0720	6
TCGA-13-0723	6
TCGA-13-0724	6
TCGA-13-0725	6
TCGA-13-0726	6
TCGA-13-0727	6
TCGA-13-0730	6
TCGA-13-0751	6
TCGA-13-0755	6
TCGA-13-0757	6
TCGA-13-0758	6
TCGA-13-0760	6
TCGA-13-0761	6
TCGA-13-0762	6
TCGA-13-0764	6
TCGA-13-0765	6
TCGA-13-0766	6
TCGA-13-0768	6
TCGA-13-0791	6
TCGA-13-0792	6
TCGA-13-0793	6
TCGA-13-0794	6
TCGA-13-0795	6
TCGA-13-0797	6
TCGA-13-0799	6
TCGA-13-0800	6
TCGA-13-0801	6
TCGA-13-0802	6
TCGA-13-0803	6
TCGA-13-0804	6
TCGA-13-0805	6
TCGA-13-0807	6
TCGA-13-0883	6
TCGA-13-0884	6
TCGA-13-0885	6
TCGA-13-0886	6
TCGA-13-0887	6
TCGA-13-0888	6
TCGA-13-0889	6
TCGA-13-0890	6
TCGA-13-0891	6
TCGA-13-0893	6
TCGA-13-0894	6
TCGA-13-0897	6
TCGA-13-0899	6
TCGA-13-0900	6
TCGA-13-0901	6
TCGA-13-0903	6
TCGA-13-0904	6
TCGA-13-0905	6
TCGA-13-0906	6
TCGA-13-0908	6
TCGA-13-0910	6
TCGA-13-0911	6
TCGA-13-0912	6
TCGA-13-0913	6
TCGA-13-0914	6
TCGA-13-0916	6
TCGA-13-0919	6
TCGA-13-0920	6
TCGA-13-0921	6
TCGA-13-0922	6
TCGA-13-0923	6
TCGA-13-0924	6
TCGA-13-1403	6
TCGA-13-1404	6
TCGA-13-1405	6
TCGA-13-1407	6
TCGA-13-1408	6
TCGA-13-1409	6
TCGA-13-1410	6
TCGA-13-1411	6
TCGA-13-1412	6
TCGA-13-1477	6
TCGA-13-1481	6
TCGA-13-1482	6
TCGA-13-1483	6
TCGA-13-1484	6
TCGA-13-1485	6
TCGA-13-1487	6
TCGA-13-1488	6
TCGA-13-1489	6
TCGA-13-1491	6
TCGA-13-1492	6
TCGA-13-1494	6
TCGA-13-1495	6
TCGA-13-1496	6
TCGA-13-1497	6
TCGA-13-1498	6
TCGA-13-1499	6
TCGA-13-1500	6
TCGA-13-1501	6
TCGA-13-1504	6
TCGA-13-1505	6
TCGA-13-1506	6
TCGA-13-1507	6
TCGA-13-1509	6
TCGA-13-1510	6
TCGA-13-1511	6
TCGA-13-1512	6
TCGA-13-2057	6
TCGA-13-2059	6
TCGA-13-2060	6
TCGA-13-2061	6
TCGA-13-2065	6
TCGA-13-2066	6
TCGA-13-2071	6
TCGA-14-0736	3
TCGA-14-0740	3
TCGA-14-0781	3
TCGA-14-0783	3
TCGA-14-0786	3
TCGA-14-0787	3
TCGA-14-0789	3
TCGA-14-0790	3
TCGA-14-0812	3
TCGA-14-0813	3
TCGA-14-0817	3
TCGA-14-0862	3
TCGA-14-0865	3
TCGA-14-0866	3
TCGA-14-0867	3
TCGA-14-0871	3
TCGA-14-1034	3
TCGA-14-1037	3
TCGA-14-1043	3
TCGA-14-1395	3
TCGA-14-1396	3
TCGA-14-1401	3
TCGA-14-1402	3
TCGA-14-1450	3
TCGA-14-1451	3
TCGA-14-1452	3
TCGA-14-1453	3
TCGA-14-1454	3
TCGA-14-1455	3
TCGA-14-1456	3
TCGA-14-1458	3
TCGA-14-1459	3
TCGA-14-1794	3
TCGA-14-1795	3
TCGA-14-1821	3
TCGA-14-1823	3
