TCGA-99-8028	101	168
TCGA-BH-A203	211	187
TCGA-28-5207	58	264
TCGA-AA-A00E	300	127
TCGA-CF-A3MG	151	135
TCGA-13-0893	184	46
TCGA-A8-A082	226	213
TCGA-CQ-6225	102	215
TCGA-97-7937	92	165
TCGA-05-4430	95	170
TCGA-EW-A1J1	222	217
TCGA-13-1497	196	50
TCGA-AR-A24V	227	204
TCGA-AA-A03F	319	173
TCGA-CF-A1HR	157	137
TCGA-AK-3440	11	130
TCGA-55-7913	58	164
TCGA-44-6776	46	162
TCGA-CJ-4872	90	79
TCGA-CR-6492	139	241
TCGA-A8-A094	231	200
TCGA-C8-A12T	235	201
TCGA-BH-A0W5	218	205
TCGA-78-7154	101	177
TCGA-A8-A08F	239	205
TCGA-CN-5355	127	230
TCGA-AR-A1AK	214	209
TCGA-AB-2969	333	81
TCGA-BP-4770	114	187
TCGA-56-7582	94	210
TCGA-43-7656	99	195
TCGA-A8-A09A	226	208
TCGA-BS-A0V8	230	100
TCGA-36-1578	187	53
TCGA-AA-A02R	299	125
TCGA-28-5213	24	229
TCGA-CU-A3KJ	141	237
TCGA-GI-A2C8	218	209
TCGA-B0-5075	93	84
TCGA-FI-A2D5	218	104
TCGA-A1-A0SF	227	209
TCGA-50-6594	104	167
TCGA-24-2297	191	54
TCGA-CV-5971	125	226
TCGA-AG-A00Y	309	146
TCGA-BH-A0AW	223	197
TCGA-AA-A01C	306	149
TCGA-CW-5587	89	80
TCGA-BH-A0H5	218	200
TCGA-CU-A3YL	153	134
TCGA-DQ-5630	121	217
TCGA-63-5128	98	213
TCGA-BP-4971	74	90
TCGA-A2-A04Q	208	174
TCGA-B5-A1MR	233	94
TCGA-AG-4008	303	146
TCGA-E2-A1BC	215	208
TCGA-B4-5836	102	78
TCGA-AA-A02W	300	149
TCGA-A2-A0YL	214	212
TCGA-A8-A08S	222	215
TCGA-D8-A1XR	219	217
TCGA-CZ-4861	96	84
TCGA-AB-3008	272	40
TCGA-CR-6470	120	261
TCGA-B0-5084	102	169
TCGA-J2-8192	89	166
TCGA-AP-A1DV	225	103
TCGA-D8-A27E	202	261
TCGA-B0-4828	80	84
TCGA-BG-A0MS	221	108
TCGA-B0-5099	93	77
TCGA-BA-5149	134	235
TCGA-A8-A0A2	227	218
TCGA-78-7148	104	174
TCGA-29-1703	191	59
TCGA-39-5035	107	201
TCGA-66-2766	90	205
TCGA-AA-3664	305	140
TCGA-25-1321	188	53
TCGA-35-3615	43	161
TCGA-EW-A1PF	223	206
TCGA-AA-3860	306	144
TCGA-06-0168	58	261
TCGA-CV-7250	125	231
TCGA-AB-2982	220	0
TCGA-D1-A1NU	224	93
TCGA-21-1078	153	135
TCGA-AB-2937	276	35
TCGA-A2-A0CW	240	204
TCGA-49-4486	44	161
TCGA-AP-A0LD	233	95
TCGA-34-2600	104	199
TCGA-13-0899	194	50
TCGA-E6-A1LZ	229	100
TCGA-B8-4622	102	69
TCGA-B0-4838	101	69
TCGA-E9-A1NG	214	203
TCGA-E2-A1L9	219	210
TCGA-B0-5119	96	75
TCGA-AO-A0JC	214	194
TCGA-AB-2914	272	31
